title,price,link
Main Double Road 390 Square Feet Flat For Sale In Johar Town Phase 1 - Block G1 Lahore In Only Rs 4000000,40 Lakh,https://www.zameen.com/Property/johar_town_phase_1_johar_town_phase_1_-_block_g1_main_double_road_390_square_feet_flat_for_sale_in_johar_town_phase_1_-_block_g1_lahore_in_only_rs_4000000-48060949-3959-1.html
Prime Location In Bahria Town - Iqbal Block Flat Sized 470 Square Feet For Sale,68 Lakh,https://www.zameen.com/Property/bahria_town_sector_e_bahria_town_-_iqbal_block_prime_location_in_bahria_town_-_iqbal_block_flat_sized_470_square_feet_for_sale-47819756-1805-1.html
"LAHORE GULBERG 4 KANAL HOUSE
 FOR SALE PRIME LOCATION",50 Crore,https://www.zameen.com/Property/gulberg_3_gulberg_3_-_block_b1_lahore_gulberg_4_kanal_house_for_sale_prime_location-47470573-3828-1.html
2 Kanal Corner Brand New Spanish Bungalow For Sale,25 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_5_2_kanal_corner_brand_new_spanish_bungalow_for_sale-48098489-1447-1.html
1 Kanal Brand New Luxury Modern Design House Available For Sale In Dha Top Location,7.5 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_luxury_modern_design_house_available_for_sale_in_dha_top_location-47652244-1448-1.html
1 Kanal Full Basement Theater Bungalow With 20kv Soler System,15.85 Crore,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_b_1_kanal_full_basement_theater_bungalow_with_20kv_soler_system-46271431-1611-1.html
1 Kanal Spanish Designer Fullbasement Fully Furnished House On 70 Fit Road,18.5 Crore,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_c_1_kanal_spanish_designer_fullbasement_fully_furnished_house_on_70_fit_road-48059417-1612-1.html
Brand New 1 Kanal Spanish House Available For Sale In Chinar Bagh Shaheen Block,5 Crore,https://www.zameen.com/Property/chinar_bagh_chinar_bagh_-_shaheen_block_brand_new_1_kanal_spanish_house_available_for_sale_in_chinar_bagh_shaheen_block-48043407-3695-1.html
5 Marla Brand New House Available For Sale In Low Cost Block G Bahria Or Hard Phase 2 Raiwind Road Lahore,1.44 Crore,https://www.zameen.com/Property/low_cost_sector_low_cost_-_block_g_5_marla_brand_new_house_available_for_sale_in_low_cost_block_g_bahria_or_hard_phase_2_raiwind_road_lahore-47177466-8192-1.html
"5 Marla Ready To Move Apartment Available For Sale In 
Icon Valley
 Phase 1",60 Lakh,https://www.zameen.com/Property/raiwind_road_icon_valley_phase_1_5_marla_ready_to_move_apartment_available_for_sale_in_icon_valley_phase_1-47858843-8469-1.html
10 Marla Brand New House For Sale Located In Central Block Bahria Orchard Lahore,3.75 Crore,https://www.zameen.com/Property/bahria_orchard_phase_1_bahria_orchard_phase_1_-_central_10_marla_brand_new_house_for_sale_located_in_central_block_bahria_orchard_lahore-45844516-8238-1.html
4 Beds Brand New 3 Marla House For Sale Located In Al Kabir Town Lahore,1.45 Crore,https://www.zameen.com/Property/raiwind_road_al-kabir_town_4_beds_brand_new_3_marla_house_for_sale_located_in_al_kabir_town_lahore-48053104-11433-1.html
1 kanal brand new luxury modern design house available for Sale in dha top location,6.8 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_brand_new_luxury_modern_design_house_available_for_sale_in_dha_top_location-47649460-1450-1.html
1 Kanal Brand New Luxury Modern Design House Available For Sale In Dha Top Location,6.95 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_brand_new_luxury_modern_design_house_available_for_sale_in_dha_top_location-47649433-1450-1.html
1 Kanal Brand New Luxury Modern Design House Available For Sale In Dha Top Location,6.95 Crore,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_brand_new_luxury_modern_design_house_available_for_sale_in_dha_top_location-47649359-1450-1.html
1 Kanal Luxury Brand New Top Class Palace Prime Location,6.8 Crore,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_1_kanal_luxury_brand_new_top_class_palace_prime_location-48011135-1632-1.html
1 Kanal House + 1 Kanal Lawn Ultra Spanish Lavish Bungalow,18.95 Crore,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_h_1_kanal_house_1_kanal_lawn_ultra_spanish_lavish_bungalow-47207523-1617-1.html
Full Basement 1 Kanal Luxury Brand New Top Class Palace Prime Location In Dha,11.25 Crore,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_m_full_basement_1_kanal_luxury_brand_new_top_class_palace_prime_location_in_dha-48084699-1621-1.html
